subject_id,group,ssrt_ms,ssrt_ms_p_respond,ssrt_ms_mean_ssd,n_go_ms,n_stop,n_fail,ssrt_all,ssrt_all_p_respond,ssrt_all_mean_ssd,n_go_all,mean_fs_rt,mean_go_rt,failed_stop_vs_go_ok,inhibition_rate,inhibition_rate_ok,go_accuracy,go_accuracy_ok,go_omission_rate,go_omissions_ok,passed_cleaning,n_all_trials,n_anticipations,n_fail_stop,n_fail_go
EF_O_01,old,0.2767684336618125,0.5659574468085107,0.1405789975210485,469,235,133,0.26587151250397556,0.5659574468085107,0.1405789975210485,614,0.1963700129435612,0.3756324895430077,True,0.4340425531914894,True,0.8527777777777777,True,0.11527777777777778,False,False,960,14,138,106
EF_O_02,old,0.2456777479272117,0.5166666666666667,0.15774031619022028,544,240,124,0.24371270199825673,0.5166666666666667,0.15774031619022028,698,0.1952929260316959,0.39939260516945474,True,0.48333333333333334,True,0.9694444444444444,True,0.02361111111111111,True,True,960,2,124,22
EF_O_03,old,0.21333659632605034,0.45,0.4208615924556876,499,240,108,0.18623054964941538,0.45,0.4208615924556876,658,0.17269202270130127,0.6157088971790209,True,0.55,True,0.9138888888888889,True,0.029166666666666667,True,True,960,0,108,62
EF_Y_01,young,0.16908759141461638,0.5208333333333334,0.17515450453264964,408,240,125,0.14447754884259434,0.5208333333333334,0.17515450453264964,559,0.1443677366825572,0.30106066122037994,True,0.4791666666666667,True,0.7763888888888889,True,0.15555555555555556,False,False,960,7,125,161
EF_Y_02,young,0.19565410704179237,0.5083333333333333,0.29787878900007764,477,240,122,0.18115825743241737,0.5083333333333333,0.29787878900007764,620,0.13584523934584397,0.4642602624431733,True,0.49166666666666664,True,0.8611111111111112,True,0.10833333333333334,False,False,960,1,122,100
EF_Y_03,young,0.20555005324172543,0.5481171548117155,0.17298044907761057,534,239,131,0.20040474188613444,0.5481171548117155,0.17298044907761057,691,0.15635900063948202,0.36648391124653573,True,0.45188284518828453,True,0.9597222222222223,True,0.03194444444444444,True,True,960,5,132,29
