subject_id,group,ssrt_ms,ssrt_ms_p_respond,ssrt_ms_mean_ssd,n_go_ms,n_stop,n_fail,ssrt_all,ssrt_all_p_respond,ssrt_all_mean_ssd,n_go_all,mean_fs_rt,mean_go_rt,failed_stop_vs_go_ok,inhibition_rate,inhibition_rate_ok,go_accuracy,go_accuracy_ok,go_omission_rate,go_omissions_ok,passed_cleaning
EF_O_01,old,-140.16165008986567,0.5659574468085107,140.57899752104854,469,235,133,-140.1725470110235,0.5659574468085107,140.57899752104854,614,0.1963700129435612,0.3756324895430077,True,0.0,False,0.8527777777777777,True,0.11527777777777778,False,False
EF_O_02,old,-157.33689812610285,0.5166666666666667,157.74031619022028,544,240,124,-157.3388631720318,0.5166666666666667,157.74031619022028,698,0.1952929260316959,0.39939260516945474,True,0.0,False,0.9694444444444444,True,0.02361111111111111,True,False
EF_O_03,old,-420.22739426690595,0.45,420.8615924556877,499,240,108,-420.2545003135826,0.45,420.8615924556877,658,0.17269202270130127,0.6157088971790209,True,0.0,False,0.9138888888888889,True,0.029166666666666667,True,False
EF_Y_01,young,-174.8102624367024,0.5208333333333334,175.15450453264967,408,240,125,-174.83487247927442,0.5208333333333334,175.15450453264967,559,0.1443677366825572,0.30106066122037994,True,0.0,False,0.7763888888888889,True,0.15555555555555556,False,False
EF_Y_02,young,-297.3852561040358,0.5083333333333333,297.8787890000777,477,240,122,-297.3997519536452,0.5083333333333333,297.8787890000777,620,0.13584523934584397,0.4642602624431733,True,0.0,False,0.8611111111111112,True,0.10833333333333334,False,False
EF_Y_03,young,-172.6019185752912,0.5481171548117155,172.98044907761053,534,239,131,-172.60706388664678,0.5481171548117155,172.98044907761053,691,0.15635900063948202,0.36648391124653573,True,0.0,False,0.9597222222222223,True,0.03194444444444444,True,False
